Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
State,City,2008,Social Sequrity Earnings,715.0,1.5
State,City,2008,"Earnings from Agricultural, Hunting and Fishing Actions",535.0,1.2
State,City,2008,Foreign Earnings,558.0,1.2
State,City,2008,Real Estate Earnings,285.0,0.6
State,City,2008,Presents,459.0,1.0
State,City,2008,Investment Interest,608.0,1.3
State,City,2008,Rest,1205.0,2.6
State,City,2008,Earnings in Labor,407.0,0.9
State,City,2008,Other Earnings in Labor,19.0,0.1
State,Rest,2008,Total Earnings,39295.0,100.0
State,Rest,2008,Earnings in Currency,34223.0,87.1
State,Rest,2008,Earnings from Orthodox Work Relations a.k.a. Job,15184.0,38.7
State,Rest,2008,Earnings from Unorthodox Work Relations,1346.0,3.4
State,Rest,2008,Pensions,9506.0,24.2
State,Rest,2008,Social Sequrity Earnings,775.0,2.0
