Month,Year,Activity,ProductionIndex
1,2009,Manufacture of Other Non-metallic Minerals Products,34.1
1,2009,Base Metals Production,77.6
1,2009,"Fabricated Metal Products Production, Except Machinery and Equipment",99.4
1,2009,"Computer, Electronic and Optical Products Production",145.6
1,2009,Electrical Equipment Production,54.4
1,2009,Unmentioned Machinery and Equipment Production,106.3
1,2009,"Motor Vehicles, Trailers and Semi-trailer Production",13.2
1,2009,Other Transport Equipment Production,401.1
1,2009,Furniture Production,151.0
1,2009,Other Manufacturing,46.9
1,2009,Repair and Installation of Machinery Equipment,142.1
1,2009,"Electricity, Gas, Steam and Air Conditioning Supply",125.4
1,2009,B - Mining,86.8
1,2009,C - Manufacturing Industry,69.1
1,2009,"D - Electricity, Gas, Steam and Air Conditioning Supply",125.4
1,2010,Total,82.0
1,2010,Coal Exploitation,121.4
1,2010,Oil and Natural Gas Exploitation,68.7
1,2010,Metal Ore Exploitation,67.8
1,2010,Other Types of Mining,37.6
1,2010,Food Products Production,77.4
1,2010,Drink Production,68.9
1,2010,Tobacoo Products Production,34.7
1,2010,Textile Production,73.9
1,2010,Clothing Production,84.5
1,2010,Leather and Leater Item Production,108.6
1,2010,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",56.3
1,2010,Paper and Paper Products Production,63.7
1,2010,Printing and Duplication of Audio and Video Material,94.0
1,2010,Coke and Refined Petroleum Production,71.6
1,2010,Chemicals and Chemical Products Production,93.8
1,2010,Basic Pharmaceutical Products and Remedies Production,50.6
1,2010,Rubber and Plastic Production,66.3
1,2010,Manufacture of Other Non-metallic Minerals Products,37.9
1,2010,Base Metals Production,152.3
1,2010,"Fabricated Metal Products Production, Except Machinery and Equipment",96.8
1,2010,"Computer, Electronic and Optical Products Production",117.7
1,2010,Electrical Equipment Production,55.0
1,2010,Unmentioned Machinery and Equipment Production,68.6
1,2010,"Motor Vehicles, Trailers and Semi-trailer Production",30.7
1,2010,Other Transport Equipment Production,381.0
1,2010,Furniture Production,120.5
1,2010,Other Manufacturing,50.6
1,2010,Repair and Installation of Machinery Equipment,152.3
1,2010,"Electricity, Gas, Steam and Air Conditioning Supply",114.4
1,2010,B - Mining,94.3
1,2010,C - Manufacturing Industry,72.4
1,2010,"D - Electricity, Gas, Steam and Air Conditioning Supply",114.4
1,2011,Total,86.2
1,2011,Coal Exploitation,102.2
1,2011,Oil and Natural Gas Exploitation,96.2
1,2011,Metal Ore Exploitation,96.9
1,2011,Other Types of Mining,32.3
1,2011,Food Products Production,79.9
1,2011,Drink Production,71.0
1,2011,Tobacoo Products Production,41.7
1,2011,Textile Production,81.2
1,2011,Clothing Production,89.9
1,2011,Leather and Leater Item Production,119.8
1,2011,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",55.1
1,2011,Paper and Paper Products Production,76.4
1,2011,Printing and Duplication of Audio and Video Material,75.2
1,2011,Coke and Refined Petroleum Production,79.4
1,2011,Chemicals and Chemical Products Production,92.6
1,2011,Basic Pharmaceutical Products and Remedies Production,60.3
