Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
2000,Q2,L - Real Estate Business,10.0,9344.0,3.3,64203.0
2000,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.1,2906.7,31.7,17694.6
2000,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.1,10364.1,7.2,74462.3
2000,Q2,R-T - Other Service Activities,2.3,2128.4,10.1,12147.0
2000,Q2,Total,93.8,88005.7,26.1,444973.3
2000,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.9,11123.5,35.9,57485.8
2000,Q3,"A - Agriculture, Forestry and Fishing",17.4,20035.8,-11.0,50665.5
2000,Q3,"B-E - Manufacturing, Mining and Other Industries",31.6,36236.2,8.8,143020.3
2000,Q3,F - Construction,3.4,3886.8,41.0,13997.4
2000,Q3,J - Informing and Communication,1.4,1552.5,30.3,9073.9
2000,Q3,K - Financial and Insurance Activities,1.6,1780.7,122.8,13914.6
2000,Q3,L - Real Estate Business,10.8,12380.2,3.7,64978.4
2000,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.7,3049.6,31.7,17197.3
2000,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.6,12176.4,1.0,73796.8
2000,Q3,R-T - Other Service Activities,2.0,2347.8,12.5,12595.5
2000,Q3,Total,92.6,106354.4,7.4,462993.7
2000,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.2,12908.3,16.2,60308.5
2000,Q4,"A - Agriculture, Forestry and Fishing",17.3,25893.7,-20.8,49361.3
2000,Q4,"B-E - Manufacturing, Mining and Other Industries",32.1,48079.0,-7.8,139775.7
2000,Q4,F - Construction,2.7,4032.9,-15.0,11943.5
2000,Q4,J - Informing and Communication,1.5,2223.4,26.7,9613.2
2000,Q4,K - Financial and Insurance Activities,1.3,2007.5,104.0,10674.3
2000,Q4,L - Real Estate Business,9.6,14300.7,3.2,66176.7
2000,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.9,4402.1,21.6,18966.8
2000,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.1,16529.8,2.0,75472.4
2000,Q4,R-T - Other Service Activities,2.0,3044.3,15.7,13580.2
2000,Q4,Total,91.2,136430.1,-5.8,449578.7
2000,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.6,15916.7,-9.8,52297.4
2001,Q1,"A - Agriculture, Forestry and Fishing",15.2,26117.6,1.1,39400.1
2001,Q1,"B-E - Manufacturing, Mining and Other Industries",32.6,56101.9,0.2,140159.9
2001,Q1,F - Construction,1.6,2682.3,-5.3,6825.6
2001,Q1,J - Informing and Communication,1.7,2872.1,19.0,9823.0
2001,Q1,K - Financial and Insurance Activities,1.2,2102.1,-4.5,9289.6
2001,Q1,L - Real Estate Business,10.2,17516.7,3.0,64090.6
2001,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.5,5964.1,2.0,19251.6
2001,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.0,20669.1,-0.1,72736.0
2001,Q1,R-T - Other Service Activities,2.3,3954.8,18.7,14130.1
2001,Q1,Total,90.6,155994.9,1.4,419968.6
2001,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.5,18014.2,-1.5,50707.0
2001,Q2,"A - Agriculture, Forestry and Fishing",13.8,27786.7,5.0,45339.1
2001,Q2,"B-E - Manufacturing, Mining and Other Industries",32.1,64454.7,-1.4,144273.6
2001,Q2,F - Construction,2.1,4264.2,-9.0,9711.3
2001,Q2,J - Informing and Communication,1.6,3209.7,10.0,9606.5
2001,Q2,K - Financial and Insurance Activities,1.1,2287.6,-38.1,9010.2
2001,Q2,L - Real Estate Business,11.2,22440.2,2.4,65714.7
2001,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.1,6185.0,1.5,17965.6
2001,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.5,23065.4,0.3,74721.4
2001,Q2,R-T - Other Service Activities,2.2,4470.1,15.6,14036.1
2001,Q2,Total,89.6,180002.4,0.2,445910.3
2001,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.9,21838.8,-0.8,57000.7
2001,Q3,"A - Agriculture, Forestry and Fishing",15.7,35968.0,23.8,62736.5
2001,Q3,"B-E - Manufacturing, Mining and Other Industries",29.2,67030.1,0.6,143948.9
2001,Q3,F - Construction,2.4,5499.6,-20.0,11201.5
2001,Q3,J - Informing and Communication,1.5,3515.9,3.7,9410.6
2001,Q3,K - Financial and Insurance Activities,1.2,2775.3,-28.2,9990.8
2001,Q3,L - Real Estate Business,11.4,26101.8,1.9,66245.2
2001,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.9,6668.3,3.5,17792.9
2001,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.8,27122.2,2.8,75855.6
2001,Q3,R-T - Other Service Activities,2.1,4830.4,11.1,13990.7
2001,Q3,Total,89.0,203944.6,4.1,482035.9
2001,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.7,24432.9,-2.0,59105.5
2001,Q4,"A - Agriculture, Forestry and Fishing",14.0,37201.8,36.0,67153.3
2001,Q4,"B-E - Manufacturing, Mining and Other Industries",29.4,77901.7,15.2,161019.7
2001,Q4,F - Construction,2.7,7246.8,16.4,13905.5
2001,Q4,J - Informing and Communication,1.5,3917.8,0.0,9609.0
2001,Q4,K - Financial and Insurance Activities,1.3,3489.0,9.9,11735.6
2001,Q4,L - Real Estate Business,10.4,27585.1,1.4,67079.3
2001,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.9,7738.6,2.7,19474.3
2001,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.5,33084.4,10.6,83476.0
2001,Q4,R-T - Other Service Activities,1.9,5140.7,3.1,14002.5
2001,Q4,Total,87.3,231571.8,17.2,526982.9
2001,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.7,28265.8,25.9,65838.9
2002,Q1,"A - Agriculture, Forestry and Fishing",10.0,23221.1,-4.4,37670.2
2002,Q1,"B-E - Manufacturing, Mining and Other Industries",29.9,69478.5,3.9,145568.9
2002,Q1,F - Construction,2.3,5287.2,46.5,9996.7
2002,Q1,J - Informing and Communication,1.7,4012.2,-2.5,9581.7
2002,Q1,K - Financial and Insurance Activities,1.6,3610.4,21.1,11245.8
2002,Q1,L - Real Estate Business,10.1,23344.1,0.9,64660.1
2002,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.7,8503.3,3.6,19941.5
2002,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.1,32696.5,3.4,75241.8
2002,Q1,R-T - Other Service Activities,2.3,5359.9,-3.9,13578.1
2002,Q1,Total,85.9,199435.0,4.5,438723.7
2002,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.3,23921.6,6.6,54071.9
2002,Q2,"A - Agriculture, Forestry and Fishing",8.7,22611.3,-2.1,44396.8
2002,Q2,"B-E - Manufacturing, Mining and Other Industries",28.8,74392.3,6.3,153321.4
2002,Q2,F - Construction,3.1,8001.2,48.8,14451.6
2002,Q2,J - Informing and Communication,1.7,4294.4,1.3,9732.5
2002,Q2,K - Financial and Insurance Activities,1.3,3357.1,13.3,10210.2
2002,Q2,L - Real Estate Business,10.4,26941.2,1.3,66582.7
2002,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.2,8235.4,4.6,18791.5
2002,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.6,35189.5,5.8,79050.6
