,Year,CountryId,Sector,Exports(tUSD),Imports(tUSD),NetExports(tUSD)
298,2004,DK,Other Finished Products,1856.6,9553.4,-7696.799999999999
299,2004,DK,Undeclared Products within SITC Rev. 4,41.2,419.8,-378.6
300,2004,DM,Food and Livestock,0.0,0.3,-0.3
301,2004,DM,Machines and Transport Devices,0.0,4.2,-4.2
302,2004,DM,Other Finished Products,0.0,6.9,-6.9
303,2004,DO,Food and Livestock,0.0,51.6,-51.6
304,2004,DO,Drinks and Tobacco,0.0,52.8,-52.8
305,2004,DO,Ineadible Raw Materials Excluding Fuel,0.0,0.7,-0.7
306,2004,DO,Chemical Products and Similar,0.0,49.8,-49.8
307,2004,DO,Manufactured Products Classified by Material,27.4,7.4,20.0
308,2004,DO,Machines and Transport Devices,0.8,56.0,-55.2
309,2004,DO,Other Finished Products,401.6,39.3,362.3
310,2004,DZ,Food and Livestock,97.4,0.0,97.4
311,2004,DZ,Chemical Products and Similar,1052.1,0.0,1052.1
312,2004,DZ,Manufactured Products Classified by Material,296.8,0.7,296.1
313,2004,DZ,Machines and Transport Devices,4736.3,45.6,4690.7
314,2004,DZ,Other Finished Products,2.8,0.0,2.8
315,2004,DZ,Undeclared Products within SITC Rev. 4,0.0,0.6,-0.6
316,2004,EC,Food and Livestock,0.0,22186.4,-22186.4
317,2004,EC,Drinks and Tobacco,0.0,89.4,-89.4
318,2004,EC,Ineadible Raw Materials Excluding Fuel,0.0,18.6,-18.6
319,2004,EC,"Mineral Fuels, Lubricants and Related Products",0.0,1.1,-1.1
320,2004,EC,Chemical Products and Similar,0.0,23.9,-23.9
321,2004,EC,Manufactured Products Classified by Material,0.0,167.0,-167.0
322,2004,EC,Machines and Transport Devices,0.0,28.4,-28.4
323,2004,EC,Other Finished Products,10.4,6.6,3.8000000000000007
324,2004,EE,Food and Livestock,2.5,869.1,-866.6
325,2004,EE,Ineadible Raw Materials Excluding Fuel,4.2,0.0,4.2
326,2004,EE,"Mineral Fuels, Lubricants and Related Products",0.0,2.5,-2.5
327,2004,EE,Chemical Products and Similar,0.3,82.0,-81.7
328,2004,EE,Manufactured Products Classified by Material,110.4,463.2,-352.79999999999995
329,2004,EE,Machines and Transport Devices,89.6,617.3,-527.6999999999999
330,2004,EE,Other Finished Products,6.6,91.0,-84.4
331,2004,EG,Food and Livestock,0.0,1181.6,-1181.6
