Year,Region,Gender,AgeGroup,Amount
2011,Belgrade,M,77,5164
2011,Voyvodina/North,M,77,5646
2011,Central and West,M,77,7237
2011,South and East,M,77,6369
2011,State,M,78,22633
2011,Belgrade,M,78,4649
2011,Voyvodina/North,M,78,4990
2011,Central and West,M,78,6958
2011,South and East,M,78,6036
2011,State,M,79,20074
2011,Belgrade,M,79,4104
2011,Voyvodina/North,M,79,4296
2011,Central and West,M,79,6537
2011,South and East,M,79,5137
2011,State,M,80,18068
2011,Belgrade,M,80,3690
2011,Voyvodina/North,M,80,4040
2011,Central and West,M,80,5674
2011,South and East,M,80,4664
2011,State,M,81,15092
2011,Belgrade,M,81,3011
2011,Voyvodina/North,M,81,3240
2011,Central and West,M,81,4777
2011,South and East,M,81,4064
2011,State,M,82,12870
2011,Belgrade,M,82,2568
2011,Voyvodina/North,M,82,2944
2011,Central and West,M,82,3909
2011,South and East,M,82,3449
2011,State,M,83,10417
2011,Belgrade,M,83,2437
2011,Voyvodina/North,M,83,2179
2011,Central and West,M,83,3126
2011,South and East,M,83,2675
2011,State,M,84,8483
2011,Belgrade,M,84,2088
2011,Voyvodina/North,M,84,1711
2011,Central and West,M,84,2527
2011,South and East,M,84,2157
2011,State,M,85,25223
2011,Belgrade,M,85,6260
2011,Voyvodina/North,M,85,5142
2011,Central and West,M,85,7193
2011,South and East,M,85,6628
2011,State,F,-1,3721827
2011,Belgrade,F,-1,870665
2011,Voyvodina/North,F,-1,996375
2011,Central and West,F,-1,1035902
2011,South and East,F,-1,818885
2011,State,F,0,32226
2011,Belgrade,F,0,8392
2011,Voyvodina/North,F,0,8602
2011,Central and West,F,0,8898
2011,South and East,F,0,6334
2011,State,F,1,32421
2011,Belgrade,F,1,8155
2011,Voyvodina/North,F,1,8752
2011,Central and West,F,1,8998
2011,South and East,F,1,6516
